iter	Passed	Remaining
260	977	2766
261	978	2757
262	983	2756
263	985	2747
264	987	2738
265	989	2729
266	991	2721
267	994	2715
268	999	2715
269	1001	2706
270	1002	2697
271	1004	2688
272	1006	2679
273	1008	2670
274	1012	2669
275	1014	2660
276	1015	2651
277	1017	2642
278	1032	2667
279	1033	2658
280	1035	2650
281	1037	2641
282	1039	2632
283	1040	2624
284	1046	2625
285	1048	2617
286	1050	2609
287	1052	2600
288	1054	2593
289	1061	2598
290	1064	2594
291	1067	2588
292	1069	2581
293	1088	2613
294	1093	2614
295	1095	2606
296	1097	2597
297	1099	2589
298	1101	2581
299	1102	2573
300	1107	2572
301	1109	2564
302	1111	2555
303	1113	2548
304	1119	2550
305	1126	2555
306	1128	2548
307	1133	2546
308	1148	2567
309	1149	2559
310	1151	2551
311	1157	2552
312	1164	2555
313	1166	2548
314	1171	2548
315	1174	2541
316	1176	2534
317	1177	2526
318	1179	2518
319	1181	2510
320	1183	2502
321	1204	2536
322	1206	2529
323	1209	2522
324	1211	2515
325	1216	2514
326	1218	2507
327	1221	2501
328	1222	2494
329	1228	2493
330	1233	2493
331	1236	2488
332	1238	2480
333	1240	2472
334	1241	2465
335	1279	2527
336	1283	2525
337	1285	2518
338	1287	2511
339	1290	2505
340	1292	2498
341	1300	2502
342	1303	2496
343	1305	2490
344	1307	2482
345	1313	2483
346	1315	2476
347	1332	2495
348	1333	2488
349	1335	2480
350	1337	2473
351	1339	2465
352	1346	2467
353	1348	2460
354	1350	2453
355	1353	2448
356	1356	2442
357	1361	2441
358	1363	2435
359	1365	2427
360	1367	2421
361	1369	2414
362	1371	2406
363	1373	2399
364	1378	2397
365	1396	2419
366	1402	2418
367	1405	2414
368	1407	2407
369	1411	2404
370	1420	2408
371	1430	2414
372	1435	2413
373	1437	2406
374	1456	2428
375	1459	2422
376	1461	2414
377	1463	2407
378	1469	2407
379	1471	2401
380	1473	2394
381	1475	2386
382	1477	2379
383	1485	2383
384	1488	2378
385	1490	2371
386	1493	2364
387	1497	2361
388	1507	2368
389	1509	2361
390	1518	2365
391	1521	2359
392	1522	2352
393	1524	2345
394	1530	2344
395	1533	2338
396	1535	2331
397	1537	2324
398	1539	2318
399	1544	2317
400	1548	2312
401	1564	2326
402	1566	2320
403	1568	2313
404	1570	2306
405	1573	2301
406	1577	2297
407	1579	2291
408	1580	2284
409	1582	2277
410	1584	2270
411	1593	2273
412	1595	2267
413	1597	2261
414	1600	2255
415	1631	2289
416	1632	2282
417	1634	2276
418	1637	2270
419	1641	2266
420	1642	2259
421	1644	2252
422	1646	2246
423	1649	2240
424	1651	2233
425	1653	2228
426	1655	2221
427	1657	2214
428	1659	2208
429	1669	2213
430	1671	2207
431	1674	2201
